,ID,author,year,title,keywords,journal,eprint,doi,adsurl
10,Dannerbauer2019BAAS...51c.293D,"Dannerbauer, Helmut and van Kampen, Eelco and Afonso, Jose and Andreani, Paola and Battaia, Fabrizio Arrigoni and Bertoldi, Frank and Casey, Caitlin and Chen, Chian-Chou and Clements, David L. and De Breuck, Carlos and Frye, Brenda and Geach, James and Harrington, Kevin and Hayashi, Masao and Jin, Shuowen and Klaassen, Pamela and Kohno, Kotaro and Lehnert, Matthew D. and Matute, Israel and Mroczkowski, Tony and Noble, Allison and Pappalardo, Ciro and Tamura, Yoichi and Zavala, Jorge",2019,Mapping Galaxy Clusters in the Distant Universe,"protoclusters, clusters",BAAS,1903.06238,,https://ui.adsabs.harvard.edu/abs/2019BAAS...51c.293D
11,Dey2016ApJ...823...11D,"Dey, Arjun and Lee, Kyoung-Soo and Reddy, Naveen and Cooper, Michael and Inami, Hanae and Hong, Sungryong and Gonzalez, Anthony H. and Jannuzi, Buell T.",2016,Spectroscopic Confirmation of a Protocluster at z \ensuremath\approx 3.786,protoclusters,ApJ,1604.08627,10.3847/0004-637X/823/1/11,https://ui.adsabs.harvard.edu/abs/2016ApJ...823...11D
12,Diener2015ApJ...802...31D,"Diener, C. and Lilly, S.~J. and Ledoux, C. and Zamorani, G. and Bolzonella, M. and Murphy, D.~N.~A. and Capak, P. and Ilbert, O. and McCracken, H.",2015,A Protocluster at z = 2.45,protoclusters,ApJ,1411.0649,10.1088/0004-637X/802/1/31,https://ui.adsabs.harvard.edu/abs/2015ApJ...802...31D
13,Ghaffari2017AN....338..823G,"Ghaffari, Z. and Westhues, Ch. and Haas, M. and Chini, R. and Willner, S.~P. and Ashby, M.~L.~N. and Wilkes, B.~J.",2017,Galaxy overdensities around 3C radio galaxies and quasars at 1 < z < 2.5 revealed by Spitzer 3.6/4.5 \textmum and Pan-STARRS,protoclusters,Astronomische Nachrichten,1710.02360,10.1002/asna.201713389,https://ui.adsabs.harvard.edu/abs/2017AN....338..823G
14,Gobat2013ApJ...776....9G,"Gobat, R. and Strazzullo, V. and Daddi, E. and Onodera, M. and Carollo, M. and Renzini, A. and Finoguenov, A. and Cimatti, A. and Scarlata, C. and Arimoto, N.",2013,WFC3 GRISM Confirmation of the Distant Cluster Cl J1449+0856 at langzrang = 2.00: Quiescent and Star-forming Galaxy Populations,protoclusters,ApJ,1305.3576,10.1088/0004-637X/776/1/9,https://ui.adsabs.harvard.edu/abs/2013ApJ...776....9G
15,Gobat2011A&A...526A.133G,"Gobat, R. and Daddi, E. and Onodera, M. and Finoguenov, A. and Renzini, A. and Arimoto, N. and Bouwens, R. and Brusa, M. and Chary, R. -R. and Cimatti, A. and Dickinson, M. and Kong, X. and Mignoli, M.",2011,A mature cluster with X-ray emission at z = 2.07,protoclusters,A\&A,1011.1837,10.1051/0004-6361/201016084,https://ui.adsabs.harvard.edu/abs/2011A&A...526A.133G
16,Guaita2020A&A...640A.107G,"Guaita, L. and Pompei, E. and Castellano, M. and Pentericci, L. and Cucciati, O. and Zamorani, G. and Zoldan, A. and Fontanot, F. and Bauer, F.~E. and Amorin, R. and Bolzonella, M. and de Lucia, G. and Gargiulo, A. and Hathi, N.~P. and Hibon, P. and Hirschmann, M. and Koekemoer, A.~M. and McLure, R. and Pozzetti, L. and Talia, M. and Thomas, R. and Xie, L.",2020,The VANDELS survey: Discovery of massive overdensities of galaxies at z > 2. Location of Ly\ensuremath\alpha-emitting galaxies with respect to environment,protoclusters,A\&A,2007.12314,10.1051/0004-6361/201935855,https://ui.adsabs.harvard.edu/abs/2020A&A...640A.107G
17,Harikane2019ApJ...883..142H,"Harikane, Yuichi and Ouchi, Masami and Ono, Yoshiaki and Fujimoto, Seiji and Donevski, Darko and Shibuya, Takatoshi and Faisst, Andreas L. and Goto, Tomotsugu and Hatsukade, Bunyo and Kashikawa, Nobunari and Kohno, Kotaro and Hashimoto, Takuya and Higuchi, Ryo and Inoue, Akio K. and Lin, Yen-Ting and Martin, Crystal L. and Overzier, Roderik and Smail, Ian and Toshikawa, Jun and Umehata, Hideki and Ao, Yiping and Chapman, Scott and Clements, David L. and Im, Myungshin and Jing, Yipeng and Kawaguchi, Toshihiro and Lee, Chien-Hsiu and Lee, Minju M. and Lin, Lihwai and Matsuoka, Yoshiki and Marinello, Murilo and Nagao, Tohru and Onodera, Masato and Toft, Sune and Wang, Wei-Hao",2019,SILVERRUSH. VIII. Spectroscopic Identifications of Early Large-scale Structures with Protoclusters over 200 Mpc at z \ensuremath\sim 6-7: Strong Associations of Dusty Star-forming Galaxies,protoclusters,ApJ,1902.09555,10.3847/1538-4357/ab2cd5,https://ui.adsabs.harvard.edu/abs/2019ApJ...883..142H
18,Harrington2019arXiv190311345H,"Harrington, Kevin C. and Frayer, D. and Dannerbauer, H.",2019,Astro2020 Science White Paper: The Extended Cool Gas Reservoirs Within z > 1 (Proto-)Cluster Environments,"protoclusters, decadal-survey",arXiv e-prints,1903.11345,,https://ui.adsabs.harvard.edu/abs/2019arXiv190311345H
19,Hayashino2019MNRAS.484.5868H,"Hayashino, T. and Inoue, A.~K. and Kousai, K. and Kashikawa, N. and Mawatari, K. and Matsuda, Y. and Tejos, N. and Prochaska, J.~X. and Iwata, I. and Noll, S. and Burgarella, D. and Yamada, T. and Akiyama, M.",2019,Enhancement of H I absorption associated with the z = 3.1 large-scale proto-cluster and characteristic structures with AGNs sculptured over Gpc scale in the SSA22 field,protoclusters,MNRAS,1901.11242,10.1093/mnras/stz388,https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.5868H
